trial_number,stim_type,tone,intensity,expectation,prob_hightone_sad,gender,block_index,response_duration,predict_response_time,predict_response,predict_result,response_response_time,response_response,response_result,reward
29,sad,high,high,1,0.9,F,1,0.8,0.1779999999999972,sad,1,0.0210000000000718,sad,1.0,72
30,angry,low,low,1,0.9,M,1,0.8,0.405999999999949,angry,1,0.2450000000000045,angry,1.0,44
31,sad,low,low,0,0.1,M,2,0.8,0.1770000000000209,angry,0,0.3370000000001028,angry,0.0,-50
32,sad,low,high,0,0.1,F,2,0.8,0.1080000000000609,angry,0,0.4270000000000209,angry,0.0,-50
33,angry,high,low,0,0.1,M,2,0.8,0.1359999999999672,angry,1,0.44399999999996,angry,1.0,20
34,sad,low,high,0,0.1,M,2,0.8,0.1859999999999217,sad,1,0.058999999999969,sad,1.0,68
35,angry,high,low,0,0.1,F,2,0.8,0.4340000000000827,angry,1,0.3999999999999772,angry,1.0,25
36,sad,low,high,0,0.1,M,2,0.8,0.1349999999999909,sad,1,0.1560000000000627,sad,1.0,55
37,angry,high,low,0,0.1,F,2,0.8,0.1909999999999172,angry,1,0.1059999999999945,angry,1.0,61
38,sad,low,high,0,0.1,M,2,0.8,0.1219999999999572,angry,0,0.45900000000006,angry,0.0,-50
39,angry,high,high,0,0.1,F,2,0.8,0.0579999999999927,sad,0,0.4829999999999472,sad,0.0,-50
40,sad,low,low,0,0.1,M,2,0.8,0.1910000000000309,sad,1,0.2600000000001046,sad,1.0,42
41,sad,low,low,0,0.1,F,2,0.8,0.0059999999999718,sad,1,0.1770000000000209,sad,1.0,53
42,angry,high,high,0,0.1,M,2,0.8,0.0389999999999872,angry,1,0.0960000000000036,angry,1.0,63
43,sad,high,high,1,0.1,F,2,0.8,0.100999999999999,angry,0,0.0199999999999818,angry,0.0,-50
44,angry,high,low,0,0.1,M,2,0.8,0.2580000000000382,sad,0,0.1900000000000545,sad,0.0,-50
