trial_number,stim_type,tone,intensity,expectation,prob_hightone_sad,gender,block_index,response_duration,predict_response_time,predict_response,predict_result,response_response_time,response_response,response_result,reward
184,angry,low,low,1,0.9,F,6,0.8,0.4519999999999982,angry,1,0.40300000000002,angry,1,23
185,angry,low,high,1,0.9,F,6,0.8,0.0092000000029202,angry,1,0.02510000000143,angry,1,71
186,sad,low,low,0,0.9,M,6,0.8,0.119099999997843,angry,0,0.0377999999971052,angry,0,-50
187,angry,low,high,1,0.9,M,6,0.8,0.5060999999975593,angry,1,0.5377999999968779,angry,1,6
188,sad,high,low,1,0.9,F,6,0.8,0.1981000000016592,sad,1,0.0146999999992658,sad,1,73
189,angry,low,low,1,0.9,F,6,0.8,0.1684999999999945,angry,1,0.0784000000021478,angry,1,65
190,sad,high,high,1,0.9,M,6,0.8,0.3018999999985681,sad,1,0.0878000000006977,sad,1,63
191,angry,low,low,1,0.9,M,6,0.8,0.0351999999993495,angry,1,0.1481999999994059,angry,1,56
192,angry,high,high,0,0.9,F,6,0.8,0.0517000000029383,sad,0,0.0049000000021806,sad,0,-50
193,sad,high,high,1,0.9,F,6,0.8,0.0095000000001164,angry,0,0.6539000000020678,sad,1,-8
194,angry,low,low,1,0.9,M,6,0.8,0.0508000000006632,angry,1,0.0603999999984807,angry,1,67
195,angry,low,high,1,0.9,F,6,0.8,0.1024000000022624,angry,1,0.0908000000008542,angry,1,63
196,angry,low,low,1,0.9,F,6,0.8,0.0673000000008414,angry,1,0.1210000000000945,angry,1,58
197,sad,high,low,1,0.9,F,6,0.8,0.0558000000007723,sad,1,0.098200000002862,sad,1,63
198,angry,low,high,1,0.9,M,6,0.8,0.1583000000007359,angry,1,0.0709000000022115,angry,1,65
199,sad,high,low,1,0.9,F,6,0.8,0.0425999999977193,sad,1,0.1034999999999399,sad,1,61
200,sad,high,high,1,0.9,F,6,0.8,0.0216999999993277,sad,1,0.0078000000007705,sad,1,73
